DC1---DC1	p-value: 0.79143
COL18A1---GPC1	0.000009
COL1A2---ITGA2	0.000009
FN1---ITGA4	0.000009
ITGB2---F11R	0.000009
CD44---MMP9	0.000009
ITGA11---COL1A1	0.000009
FN1---ITGA3	0.000008
ABCA1---PLTP	0.000008
COL1A1---DDR2	0.000008
MDK---LRP1	0.000008
CD93---COL4A1	0.000008
VEGFA---FLT1	0.000008
INSR---ARF1	0.000008
CD44---HGF	0.000008
SDC2---HGF	0.000008
VEGFB---FLT1	0.000008
TMPRSS6---FN1	0.000008
NPR1---NPPB	0.000007
C3---ITGB2	0.000007
TNFRSF14---MIF	0.000007
DLK1---NOTCH1	0.000007
ITGB2---JAM3	0.000007
NGFRAP1---BDNF	0.000007
KLRD1---HLA-G	0.000007
SDC1---PTN	0.000007
C1QA---CD93	0.000006
APOE---LRP5	0.000006
SPINT1---ST14	0.000006
ITGA11---COL3A1	0.000006
ITGA2---FN1	0.000006
ACKR2---CCL13	0.000006
ITGB1---SEMA7A	0.000006
PSAP---GPR37	0.000006
COL6A2---ITGA2	0.000006
DKK1---LRP5	0.000006
MAG---COL3A1	0.000006
THY1---ITGB2	0.000006
TMPRSS6---COL1A1	0.000006
INHBA---ENG	0.000006
ANXA1---DYSF	0.000005
KISS1R---KISS1	0.000005
ITGAV---MMP2	0.000005
LRP1---LRPAP1	0.000005
PLAUR---VTN	0.000005
EPHA2---EFNA1	0.000005
COL4A1---ITGA1	0.000005
ITGB6---TGFB1	0.000005
COL6A1---ITGA1	0.000005
ADAM17---ITGB1	0.000005
PTPRS---HSPG2	0.000005
CCL2---CCR1	0.000005
GNAI2---EGFR	0.000005
LRP1---CTGF	0.000004
JAM3---ITGB2	0.000004
COL4A2---ITGA1	0.000004
ACVRL1---TGFB1	0.000004
FPR2---ANXA1	0.000004
COL6A3---ITGA1	0.000004
C1QB---LRP1	0.000004
COL3A1---MAG	0.000004
FN1---ITGA9	0.000004
FN1---ITGB8	0.000004
SERPING1---LRP1	0.000004
FN1---TMPRSS6	0.000004
CD93---COL4A2	0.000004
ITGB3---FN1	0.000004
FN1---ITGA10	0.000004
ITGB1---COL27A1	0.000004
ITGAV---COL4A1	0.000004
DKK1---LRP6	0.000004
COL4A1---ITGA2	0.000004
CD93---COL1A2	0.000003
NOTCH3---DLK1	0.000003
ITGA2B---FN1	0.000003
LRP6---CTGF	0.000003
CD14---ITGA4	0.000003
CD93---C1QA	0.000003
HLA-G---LILRB1	0.000003
ITGA4---FN1	0.000003
ITGA9---FN1	0.000003
ITGA1---COL6A2	0.000003
ITGB1---FBN1	0.000003
CCR1---CCL2	0.000002
CCL3L3---ACKR2	0.000002
PTGS2---CAV1	0.000002
CCL3L3---CCR1	0.000002
CD99---PILRA	0.000002
CD151---MMP7	0.000002
CCR1---CCL3L3	0.000002
APOE---LRP8	0.000002
ITGB1---LAMC1	0.000002
LRP1---MMP9	0.000002
THBS1---CD36	0.000001
FCGRT---ALB	0.000001
ADM---CALCRL	0.000001
FLT1---VEGFB	0.000001
ADAM9---ITGB1	0.000001
IL1RAP---IL1RN	0.000001
PILRA---CD99	0.000001
TLR4---S100A9	0.000001
ITGB7---FN1	0.000001
BST1---CAV1	0.000000
CCL2---ACKR2	0.000000
MIF---TNFRSF14	0.000000

EVT_p---EVT_p	q-value: 0

Ligand---Receptor	contribution
SPP1---ITGB1	0.053418
ITGB1---SPP1	0.052649
CD63---TIMP1	0.042064
FN1---ITGB1	0.039263
ITGA5---SPP1	0.039261
TIMP1---CD63	0.037058
SPP1---ITGA5	0.035505
ITGB1---FN1	0.035301
FLT1---PGF	0.033682
PGF---FLT1	0.032820
FN1---ITGA5	0.027575
ITGA5---FN1	0.027215
ITGB1---FBLN1	0.009996
ITGB1---COL4A1	0.009211
COL1A1---ITGB1	0.008873
COL4A1---ITGB1	0.008341
COL3A1---ITGB1	0.007809
SPP1---CD44	0.006015
COL1A1---ITGA5	0.005864
ITGA5---CYR61	0.005674
CYR61---ITGA5	0.005124
ITGB1---COL1A1	0.005112
ITGB1---COL4A2	0.004673
COL1A2---ITGB1	0.004593
COL4A2---ITGB1	0.004570
FBLN1---ITGB1	0.004344
ITGA5---COL1A1	0.004279
ITGB1---COL3A1	0.004110
CD44---SPP1	0.004024
SPP1---ITGAV	0.003866
ADAM12---ITGB1	0.003727
ITGB1---COL6A2	0.003554
INSR---IGF2	0.003201
ITGAV---SPP1	0.003129
ITGB1---COL1A2	0.002827
PLAUR---FN1	0.002735
COL6A2---ITGB1	0.002386
FN1---CD44	0.002298
COL1A1---CD36	0.002116
FN1---PLAUR	0.002110
IGF2---INSR	0.001992
ITGB1---CD14	0.001712
CANX---HLA-B	0.001676
ITGB1---ADAM12	0.001614
CD44---FN1	0.001563
ITGA5---CTGF	0.001496
ITGB1---PLA2G2A	0.001359
HSP90AA1---EGFR	0.001351
RAMP2---ADM	0.001339
CD14---ITGB1	0.001290
B2M---ALB	0.001275
FN1---SDC2	0.001243
SDC2---FN1	0.001145
COL1A2---CD36	0.001125
ITGA5---PLA2G2A	0.001090
TFPI---LRP1	0.001004
CD36---COL1A1	0.000991
FN1---ITGAV	0.000971
C5AR1---RPS19	0.000953
ITGAV---FN1	0.000846
HLA-B---CANX	0.000826
COL6A1---ITGB1	0.000825
ITGB1---LGALS3BP	0.000798
COL1A1---CD44	0.000774
RPSA---LAMA2	0.000748
TFPI---VLDLR	0.000741
ITGB1---COL6A1	0.000730
LAMB2---RPSA	0.000679
VIM---CD44	0.000677
ANXA1---EGFR	0.000641
PLA2G2A---ITGB1	0.000632
ADAM12---SDC4	0.000624
ITGB1---F13A1	0.000614
CALR---ITGAV	0.000610
RPS19---C5AR1	0.000589
CD36---COL1A2	0.000583
CD44---VIM	0.000569
CTGF---ITGA5	0.000549
IGF2---IGF1R	0.000532
HMGB1---SDC1	0.000526
NRP2---PGF	0.000522
HMGB1---THBD	0.000514
ADM---RAMP2	0.000511
ITGB1---HSPG2	0.000508
ITGB1---VCAN	0.000496
HLA-A---APLP2	0.000491
APLP2---HLA-A	0.000482
ITGB1---TGM2	0.000477
RPSA---LAMB2	0.000475
APP---CAV1	0.000429
TGFB1---ENG	0.000429
LAMA2---RPSA	0.000425
SDC1---HMGB1	0.000422
THBD---HMGB1	0.000409
EGFR---ANXA1	0.000406
IGF1R---IGF2	0.000402
EGFR---HSP90AA1	0.000395
LRP1---TFPI	0.000379
TGM2---ITGB1	0.000365
FN1---ITGB6	0.000348
PGF---NRP1	0.000339
CALR---LRP1	0.000324
F13A1---ITGB1	0.000311
VCAN---ITGB1	0.000308
MMP12---PLAUR	0.000288
COL1A2---CD44	0.000287
CYR61---ITGB2	0.000285
S1PR1---SPP1	0.000283
PGF---NRP2	0.000282
LGALS3BP---ITGB1	0.000269
EGFR---DCN	0.000263
CAV1---APP	0.000259
PLA2G2A---ITGA5	0.000255
ITGB2---CYR61	0.000254
FN1---ITGB5	0.000253
CD74---APP	0.000252
CD47---TYROBP	0.000246
PRND---RPSA	0.000232
CD44---COL1A1	0.000232
DCN---EGFR	0.000228
ITGB5---FN1	0.000220
SPP1---ITGA4	0.000217
IGF2R---IGF2	0.000215
GSTP1---TRAF2	0.000212
APOE---LRP1	0.000211
COL1A1---ITGA1	0.000207
TYROBP---CD47	0.000200
NRP1---PGF	0.000191
TRAF2---GSTP1	0.000186
HSPG2---ITGB1	0.000184
LRP1---APOE	0.000176
GNAI2---CAV1	0.000176
VLDLR---TFPI	0.000174
IDE---IGF2	0.000174
SDC4---ADAM12	0.000164
SCARB1---APOE	0.000161
PLAUR---MMP12	0.000155
HRAS---CAV1	0.000154
COL3A1---ITGA1	0.000150
MMP2---SDC2	0.000146
SPP1---S1PR1	0.000143
KDR---PGF	0.000142
HSP90AA1---FGFR3	0.000133
ITGB6---FN1	0.000126
SPP1---ITGA9	0.000125
SDC4---TGM2	0.000125
ENG---TGFB1	0.000125
CSH1---PRLR	0.000124
LRP1---CALR	0.000121
IL1R1---IL1RN	0.000117
SDC4---MDK	0.000109
ITGB8---FN1	0.000106
APOE---VLDLR	0.000104
APOE---LDLR	0.000101
ITGAV---CALR	0.000099
LRP1---SERPINE2	0.000099
ITGB1---PLAUR	0.000097
COL1A1---DDR2	0.000097
IL1RAP---IL1RN	0.000095
ITGB1---FBN1	0.000095
ITGA5---FBN1	0.000095
CD44---COL1A2	0.000094
ITGA1---COL1A1	0.000091
SERPINE2---LRP1	0.000089
IGF2---IGF2R	0.000088
ALB---B2M	0.000083
CCL3---CCR1	0.000082
ITGA1---COL3A1	0.000082
MDK---SDC4	0.000081
ITGB2---CTGF	0.000079
LRP1---PSAP	0.000077
COL1A1---DDR1	0.000076
ITGA4---SPP1	0.000076
ITGA9---SPP1	0.000076
PLAUR---ITGB1	0.000075
LDLR---APOE	0.000074
IGF2---IDE	0.000074
FN1---ITGB8	0.000074
CYR61---ITGAV	0.000069
ITGB1---TIMP2	0.000066
CTGF---ITGB2	0.000065
CCL4---CCR1	0.000063
EBI3---IL6ST	0.000063
RPSA---LAMA1	0.000063
ITGB1---COL18A1	0.000056
ANXA1---FPR1	0.000055
APP---CD74	0.000055
FLT1---PIGF	0.000052
COL3A1---DDR1	0.000052
CCL3---ACKR2	0.000050
LRP1---CTGF	0.000050
ITGB1---ADAM15	0.000048
FN1---MAG	0.000047
COL3A1---DDR2	0.000046
PTPRS---PTN	0.000045
CAV1---GNAI2	0.000045
EFEMP1---EGFR	0.000042
TGFB1---EGFR	0.000040
KDR---TIMP3	0.000039
FPR3---ANXA1	0.000039
ACKR2---CCL3	0.000039
CCL4---ACKR2	0.000039
APOE---SCARB1	0.000037
ITGA5---ADAM15	0.000037
COL1A1---CD93	0.000036
PSAP---LRP1	0.000035
CD44---VCAN	0.000035
ADAM15---ITGB1	0.000035
CCR1---CCL3	0.000034
TGM2---SDC4	0.000033
FPR1---ANXA1	0.000033
COL1A2---ITGA1	0.000033
NT5E---FN1	0.000033
MMP2---ITGAV	0.000033
CCL3L3---CCR1	0.000031
PIGF---FLT1	0.000031
ITGA11---FN1	0.000031
CAV1---BST1	0.000030
CD81---GPC3	0.000030
MAG---FN1	0.000029
ACKR2---CCL4	0.000029
CD93---COL1A1	0.000028
IL1RN---IL1RAP	0.000027
LAMA1---RPSA	0.000027
COL4A1---CD93	0.000027
FGFR3---HSP90AA1	0.000026
CAV1---HRAS	0.000026
SDC1---MDK	0.000025
DYSF---ANXA1	0.000025
IL1R2---IL1RN	0.000025
VLDLR---APOE	0.000024
CYR61---ITGB5	0.000024
PRLR---CSH1	0.000024
TGFB1---SDC2	0.000023
MMP9---CD44	0.000023
COL6A3---ITGB1	0.000022
TMPRSS6---FN1	0.000022
VCAN---CD44	0.000022
ANXA1---DYSF	0.000021
ARF1---INSR	0.000021
ITGA5---COL18A1	0.000020
PGF---KDR	0.000020
ITGAV---CYR61	0.000019
ITGA10---FN1	0.000017
GPR37---PSAP	0.000017
CD93---COL4A1	0.000017
IL6ST---EBI3	0.000016
LRP1---MDK	0.000016
LRP2---MDK	0.000016
ITGAV---MMP2	0.000015
TIMP2---ITGB1	0.000015
ITGA1---COL6A2	0.000015
ITGB1---COL5A1	0.000014
MET---DCN	0.000014
SORL1---APOE	0.000014
ITGA2---FN1	0.000014
COL6A2---ITGA1	0.000013
TLR4---S100A9	0.000013
MIF---TNFRSF14	0.000013
HLA-A---ERBB2	0.000012
VIPR1---PTMA	0.000012
DCN---MET	0.000012
F11R---ITGB2	0.000012
TNFRSF1A---GRN	0.000012
ACKR2---CCL3L3	0.000011
EGFR---TGFB1	0.000011
COL4A1---ITGAV	0.000011
CTGF---LRP1	0.000011
C3---ITGB2	0.000011
HGF---SDC2	0.000011
TNFRSF11B---FN1	0.000011
PTN---PTPRS	0.000010
FN1---ITGA3	0.000010
JAM2---ITGB1	0.000010
CD44---HGF	0.000010
FBN1---ITGB1	0.000010
ERBB2---HLA-A	0.000010
FBN1---ITGA5	0.000010
KIR2DL1---HLA-C	0.000010
CD93---COL4A2	0.000010
SDC2---MMP2	0.000010
TGFB1---ACVRL1	0.000009
IL1RN---IL1R1	0.000009
VCAN---EGFR	0.000009
ADAM15---ITGA5	0.000009
ITGAV---COL4A1	0.000009
ANXA1---FPR2	0.000009
COL1A1---ITGA11	0.000009
INHA---ACVR2A	0.000009
PTMA---VIPR1	0.000009
LRP5---APOE	0.000009
TGFB1---ITGAV	0.000009
CTGF---ITGAM	0.000008
SORL1---LRPAP1	0.000008
COL3A1---MAG	0.000008
ITGA2B---FN1	0.000008
ITGB1---COL6A3	0.000008
VEGFB---FLT1	0.000008
PLTP---ABCA1	0.000008
KIR2DL3---HLA-C	0.000007
ITGA3---FN1	0.000007
ITGA4---FN1	0.000007
ITGA9---FN1	0.000007
ICAM2---ITGB2	0.000007
ACKR2---CCL2	0.000006
FPR2---ANXA1	0.000005
APOE---SORL1	0.000005
PTGS2---CAV1	0.000005
THY1---ITGB2	0.000004
CD93---C1QA	0.000004
LRP1---C1QB	0.000004
APOE---LRP8	0.000004
ITGAM---CTGF	0.000004
ITGB7---FN1	0.000004
C1QB---LRP1	0.000004
JAM3---ITGB2	0.000003
FN1---ITGA4	0.000003
GRN---TNFRSF1A	0.000003
CD99---PILRA	0.000002
TNFRSF14---MIF	0.000002
IL1RN---IL1R2	0.000002
VCAN---TLR2	0.000002
ITGB5---CYR61	0.000002
CCL2---ACKR2	0.000002
CAV1---PTGS2	0.000002
CCL3L3---ACKR2	0.000001
PILRA---CD99	0.000001
ITGB1---ADAM9	0.000001
IDE---CCL3	0.000001

F1---DC1	q-value: 0.79143

Ligand---Receptor	contribution
CD63---TIMP1	0.279724
SPP1---ITGB1	0.060632
SPP1---CD44	0.047431
TIMP1---CD63	0.042211
FN1---PLAUR	0.027036
APLP2---HLA-A	0.022359
FN1---CD44	0.022292
FN1---SDC2	0.020284
EGFR---DCN	0.019911
CANX---HLA-B	0.015931
FN1---ITGB1	0.015482
CD44---VIM	0.011800
VIM---CD44	0.011318
FN1---ITGB8	0.010620
APP---CD74	0.009888
RPS19---C5AR1	0.006968
LRP1---APOE	0.005303
ITGB1---TGM2	0.005125
ERBB2---HLA-A	0.005021
MET---DCN	0.004783
CD47---TYROBP	0.003555
MMP12---PLAUR	0.003544
APOE---SCARB1	0.003396
SCARB1---APOE	0.002981
ALB---B2M	0.002914
ITGB1---FBLN1	0.002903
HLA-B---CANX	0.002709
LDLR---APOE	0.002524
ITGB2---THY1	0.002516
SPP1---ITGA5	0.002396
ACKR2---CCL3	0.002357
SORL1---APOE	0.002318
FAM3C---CLEC2D	0.002187
SPP1---ITGAV	0.002170
CD44---MMP9	0.002138
HLA-A---APLP2	0.001940
ANXA1---EGFR	0.001917
FN1---ITGA5	0.001857
CSH1---PRLR	0.001771
VLDLR---APOE	0.001753
FN1---ITGB5	0.001744
FBLN1---ITGB1	0.001685
CCR1---CCL3	0.001677
C5AR1---RPS19	0.001661
APOE---LRP1	0.001627
IL1RAP---IL1B	0.001622
ANXA1---FPR3	0.001574
CYR61---ITGB2	0.001443
PRLR---PRL	0.001369
ITGB1---FN1	0.001304
IGF2---INSR	0.001289
ITGA5---FN1	0.001219
CAV1---PTGS2	0.001092
HSP90AA1---EGFR	0.001060
IL1RN---IL1R2	0.001048
MMP2---SDC2	0.000975
COL1A1---CD44	0.000968
COL1A2---CD44	0.000962
CD14---ITGB1	0.000954
CD74---APP	0.000945
PLAUR---FN1	0.000859
ITGB1---PLAUR	0.000842
MMP7---CD151	0.000822
APOE---SORL1	0.000765
EGFR---ANXA1	0.000705
SDC4---MDK	0.000690
COL3A1---ITGB1	0.000686
TGM2---ITGB1	0.000678
CLEC2D---KLRB1	0.000662
ITGB1---TIMP2	0.000624
SDC2---MMP2	0.000623
EGFR---AREG	0.000551
MMP9---CD44	0.000527
LRP2---APOE	0.000524
COL3A1---ITGA1	0.000507
FPR1---ANXA1	0.000492
CD44---FN1	0.000492
ANXA1---FPR1	0.000489
CCR1---CCL3L3	0.000486
VCAN---CD44	0.000482
FLT1---VEGFA	0.000464
COL1A1---ITGB1	0.000462
DPP4---CXCL2	0.000456
CSH2---PRLR	0.000426
EGFR---HSP90AA1	0.000413
C14orf1---CCL18	0.000397
IGF2---IGF2R	0.000387
SDC2---FN1	0.000387
CAV1---GNAI2	0.000386
IL1R2---IL1B	0.000377
IL1RN---IL1R1	0.000354
COL1A2---ITGB1	0.000342
COL1A1---ITGA1	0.000342
ITGB1---SPP1	0.000290
COL1A2---ITGA1	0.000253
COL6A2---ITGB1	0.000243
SDC4---TGM2	0.000239
HGF---CD44	0.000226
CXCL12---CXCR4	0.000226
COL1A1---CD36	0.000224
FN1---ITGA3	0.000194
HLA-G---KLRC1	0.000168
ITGB2---ICAM1	0.000141
RPSA---LAMA2	0.000139
DCN---EGFR	0.000120

F1---DC2	q-value: 0.79143

Ligand---Receptor	contribution
CD63---TIMP1	0.197314
APLP2---HLA-A	0.181796
APOE---SORL1	0.050824
CANX---HLA-B	0.043990
APP---CD74	0.036470
C5AR1---RPS19	0.030118
TNFRSF1A---LTB	0.028112
ERBB2---HLA-A	0.027556
CYR61---ITGB2	0.023022
FBLN1---ITGB1	0.020988
ITGAV---CALR	0.018145
EGFR---ANXA1	0.017410
EGFR---HSP90AA1	0.013228
APOE---SCARB1	0.012706
LAMB2---RPSA	0.011694
CD47---TYROBP	0.010887
TGM2---ITGB1	0.010508
VIM---CD44	0.009882
TYROBP---CD47	0.009600
LTBR---LTB	0.009449
CD44---VIM	0.008941
ENG---TGFB1	0.008042
IGF2---IGF2R	0.006682
CLEC2D---KLRB1	0.006299
SPP1---CD44	0.006085
LGALS3BP---ITGB1	0.005645
HLA-B---CANX	0.005459
SPP1---ITGB1	0.004057
ADAM12---ITGB1	0.003837
FN1---CD44	0.003651

F1---EVT	q-value: 0

Ligand---Receptor	contribution
SPP1---ITGB1	0.086063
SPP1---ITGA5	0.064212
FN1---ITGB1	0.047564
TIMP1---CD63	0.045087
FLT1---PGF	0.042964
FN1---ITGA5	0.035879
ITGB1---SPP1	0.034293
ITGB1---FN1	0.031400
PGF---FLT1	0.029579
CD63---TIMP1	0.024245
ITGA5---SPP1	0.022329
ITGA5---FN1	0.022027
ITGB1---COL4A1	0.011042
SPP1---CD44	0.010281
CD44---SPP1	0.009197
PLAUR---FN1	0.007864
FBLN1---ITGB1	0.007046
ITGB1---COL4A2	0.005966
ITGA5---CYR61	0.005708
COL4A1---ITGB1	0.005445
ITGB1---FBLN1	0.005093
FN1---PLAUR	0.004655
CYR61---ITGA5	0.004488
SPP1---ITGAV	0.004196
C5AR1---RPS19	0.003951
ITGB1---COL1A1	0.003811
COL4A2---ITGB1	0.003320
ITGB1---COL3A1	0.003220
IGF2---INSR	0.002973
FN1---CD44	0.002799
ITGA5---COL1A1	0.002726
ITGB1---ADAM12	0.002518
CD44---FN1	0.002345
CD74---APP	0.002306
HLA-B---CANX	0.002192
RPS19---C5AR1	0.002132
LGALS3BP---ITGB1	0.002113
CD36---COL1A1	0.002108
INSR---IGF2	0.002027
COL3A1---ITGB1	0.001921
APOE---LRP1	0.001826
ITGAV---SPP1	0.001788
MMP12---PLAUR	0.001751
ADAM12---ITGB1	0.001747
SDC2---FN1	0.001678
CD44---VIM	0.001644
ITGB1---COL1A2	0.001639
ITGB2---CYR61	0.001610
TFPI---LRP1	0.001465
CD14---ITGB1	0.001344
EGFR---HSP90AA1	0.001335
COL1A1---ITGB1	0.001178
ITGB1---LGALS3BP	0.001103
B2M---ALB	0.001089
CD36---COL1A2	0.001079
FN1---ITGAV	0.001069
COL1A1---ITGA5	0.001062
LRP1---TFPI	0.001042
PLAUR---ITGB1	0.001030
FN1---ITGB6	0.001023
TYROBP---CD47	0.000998
COL1A2---ITGB1	0.000930
SDC1---HMGB1	0.000881
HLA-A---APLP2	0.000872
ITGB1---CD14	0.000813
APP---CD74	0.000802
APOE---LDLR	0.000799
FN1---SDC2	0.000749
APOE---VLDLR	0.000733
TFPI---VLDLR	0.000727
CANX---HLA-B	0.000720
ENG---TGFB1	0.000719
LRP1---APOE	0.000715
EGFR---ANXA1	0.000707
VIM---CD44	0.000705
HSP90AA1---EGFR	0.000702
CD44---COL1A1	0.000682
SPP1---ITGA4	0.000667
FN1---ITGB5	0.000663
LAMB2---RPSA	0.000662
ANXA1---EGFR	0.000656
CD47---TYROBP	0.000638
HMGB1---SDC1	0.000617
ITGB1---COL6A2	0.000583
APLP2---HLA-A	0.000559
THBD---HMGB1	0.000556
SPP1---S1PR1	0.000545
PLAUR---MMP12	0.000524
CYR61---ITGB2	0.000505
ITGB2---CTGF	0.000477
CALR---LRP1	0.000475
IGF1R---IGF2	0.000441
PSAP---LRP1	0.000434
COL6A2---ITGB1	0.000432
NRP2---PGF	0.000422
TGFB1---ENG	0.000404
APOE---SCARB1	0.000395
LDLR---APOE	0.000390
VLDLR---TFPI	0.000388
ITGA5---CTGF	0.000371
COL1A1---CD36	0.000365
LRP1---CALR	0.000363
ITGB1---HSPG2	0.000337
COL1A2---CD36	0.000328
F13A1---ITGB1	0.000324
HMGB1---THBD	0.000298
LAMA2---RPSA	0.000291
GSTP1---TRAF2	0.000286
ADAM12---SDC4	0.000278
IGF2---IGF1R	0.000272
FN1---NT5E	0.000262
FN1---ITGA2	0.000262
VLDLR---APOE	0.000261
NRP1---PGF	0.000255
ITGAV---FN1	0.000246
FPR1---ANXA1	0.000242
APP---CAV1	0.000242
CD44---COL1A2	0.000234
ALB---B2M	0.000233
ITGB5---FN1	0.000232
COL6A1---ITGB1	0.000231
ITGB1---F13A1	0.000231
S1PR1---SPP1	0.000230
IGF2---IGF2R	0.000230
CTGF---ITGA5	0.000228
CAV1---APP	0.000217
RPSA---LAMA1	0.000216
SDC4---ADAM12	0.000210
RPSA---LAMB2	0.000208
HLA-A---ERBB2	0.000208
RPSA---LAMA2	0.000193
SDC2---MMP2	0.000190
FN1---MAG	0.000189
ITGA4---SPP1	0.000176
SCARB1---APOE	0.000174
FLT1---PIGF	0.000174
ITGB1---ADAM15	0.000165
FN1---ITGB7	0.000163
PGF---NRP2	0.000162
LAMA1---RPSA	0.000161
EFEMP1---EGFR	0.000158
SERPINE2---LRP1	0.000158
MMP7---CD151	0.000152
CAV1---GNAI2	0.000149
CCL3---CCR1	0.000147
GRN---TNFRSF1A	0.000147
TGM2---ITGB1	0.000146
EGFR---EFEMP1	0.000140
PLA2G2A---ITGB1	0.000138
SPP1---ITGA9	0.000138
TRAF2---GSTP1	0.000133
IGF2R---IGF2	0.000127
COL1A1---CD44	0.000127
CTGF---ITGB2	0.000126
GNAI2---CAV1	0.000126
LRP1---PSAP	0.000124
ANXA1---FPR3	0.000124
TIMP2---ITGB1	0.000122
PTN---SDC1	0.000120
CCL3---ACKR2	0.000117
MMP9---CD44	0.000115
APOE---SORL1	0.000109
ITGB1---VCAN	0.000106
ITGB1---COL6A1	0.000106
EGFR---DCN	0.000104
NOTCH2---DLK1	0.000099
FN1---TNFRSF11B	0.000098
COL1A2---CD44	0.000098
LRP1---SERPINE2	0.000094
ITGAV---CALR	0.000088
FPR3---ANXA1	0.000088
MMP9---LRP1	0.000084
FN1---ITGA4	0.000084
HLA-G---LILRB2	0.000075
DCN---EGFR	0.000075
GRN---TNFRSF1B	0.000074
PGF---NRP1	0.000070
ITGB7---FN1	0.000069
SDC2---TGFB1	0.000068
PLA2G2A---ITGA5	0.000068
ITGA1---COL1A1	0.000068
CCL4---CCR1	0.000067
PIGF---FLT1	0.000065
CCL18---C14orf1	0.000065
CALR---ITGAV	0.000064
TGFB1---ACVRL1	0.000061
CCL4---ACKR2	0.000061
ITGB1---TGM2	0.000061
MDK---SDC4	0.000060
CD81---GPC3	0.000058
ABCA1---PLTP	0.000058
ITGA5---ADAM15	0.000057
ACKR2---CCL3	0.000056
RAMP2---ADM	0.000056
COL3A1---ITGA1	0.000054
TNFRSF1A---GRN	0.000052
DDR1---COL1A1	0.000052
LRP2---APOE	0.000051
CAV1---HRAS	0.000050
PTMA---VIPR1	0.000050
C14orf1---CCL18	0.000050
ITGB1---PLAUR	0.000049
EBI3---IL6ST	0.000048
SPP1---ITGB3	0.000047
CCR1---CCL18	0.000047
FN1---ITGA9	0.000046
DDR1---COL3A1	0.000046
IL6ST---EBI3	0.000046
IGF2---IDE	0.000045
FN1---ITGA3	0.000043
SORL1---APOE	0.000043
ADAM15---ITGB1	0.000042
HRAS---CAV1	0.000042
ITGA1---COL3A1	0.000042
COL1A1---ITGA1	0.000042
ITGB6---FN1	0.000040
ADAM15---ITGA5	0.000039
PSAP---GPR37	0.000039
CCL2---CCR1	0.000039
NT5E---FN1	0.000038
CCR1---CCL3	0.000037
MAG---FN1	0.000035
APOE---LRP8	0.000035
MDK---SDC1	0.000034
FN1---ITGA2B	0.000033
CCL2---ACKR2	0.000033
GRN---SORT1	0.000033
CD44---MMP9	0.000032
ITGB1---COL5A1	0.000032
ERBB2---HLA-A	0.000031
VEGFB---FLT1	0.000031
COL3A1---DDR1	0.000031
F11R---ITGB2	0.000031
DYSF---ANXA1	0.000030
ITGAV---CYR61	0.000029
LILRB2---HLA-G	0.000029
HSP90AA1---FGFR3	0.000028
FGFR3---HSP90AA1	0.000028
LRPAP1---LRP1	0.000028
ITGA3---FN1	0.000027
FLT1---VEGFB	0.000027
TGFB1---EGFR	0.000027
ITGB2---F11R	0.000027
LRP5---APOE	0.000027
TYROBP---SEMA6D	0.000026
ITGB1---TIMP2	0.000026
COL3A1---ITGA2	0.000026
APP---GPC1	0.000025
ITGB1---COL6A3	0.000024
FN1---ITGB8	0.000023
ANXA1---DYSF	0.000023
LAMA5---BCAM	0.000022
TGM2---SDC4	0.000022
ARF1---INSR	0.000022
SDC1---PTN	0.000021
VCAN---ITGB1	0.000021
LRP1---CTGF	0.000021
COL27A1---ITGB1	0.000020
NGFRAP1---BDNF	0.000020
INSR---ARF1	0.000019
IL1RN---IL1R1	0.000019
FN1---TMPRSS6	0.000019
CYR61---ITGB5	0.000019
EGFR---AREG	0.000019
APOE---LRP2	0.000018
SDC1---MDK	0.000018
HSPG2---ITGB1	0.000018
COL1A1---DDR1	0.000018
SDC4---MDK	0.000018
ITGB2---JAM3	0.000018
ITGA10---FN1	0.000018
DLK1---NOTCH2	0.000017
MET---DCN	0.000017
IL1RN---IL1R2	0.000017
INHBA---ENG	0.000017
GPR37---PSAP	0.000017
PLAUR---PLAU	0.000016
ITGB1---SEMA7A	0.000016
APOE---LRP5	0.000016
COL1A2---ITGA1	0.000016
TMPRSS6---FN1	0.000016
LRP1---C1QB	0.000016
CCL3---IDE	0.000015
COL6A2---ITGA1	0.000014
PRLR---CSH1	0.000014
MDK---LRP1	0.000014
PTPRS---PTN	0.000014
ANXA1---FPR1	0.000014
COL5A2---ITGB1	0.000013
CCL18---CCR1	0.000013
PLTP---ABCA1	0.000013
COL1A1---ITGA2	0.000013
DCN---MET	0.000013
NTF4---NGFRAP1	0.000013
S100A9---TLR4	0.000012
CD93---COL4A2	0.000012
ITGB1---COL21A1	0.000012
ACKR2---CCL13	0.000012
DPP4---CXCL9	0.000012
C1QB---LRP1	0.000011
ACVRL1---TGFB1	0.000011
GPC3---CD81	0.000011
CYR61---ITGAV	0.000011
TGFBR3---TGFB1	0.000011
FN1---ITGA8	0.000011
ITGA2B---FN1	0.000010
C1QA---CD93	0.000010
ITGB1---COL9A3	0.000010
NCSTN---APP	0.000010
MMP7---CD44	0.000009
SERPINE1---LRP1	0.000009
FBN1---ITGB1	0.000009
VEGFA---FLT1	0.000009
SELP---CD24	0.000009
LRPAP1---LDLR	0.000009
LRPAP1---VLDLR	0.000009
PTN---PTPRS	0.000008
OSM---IL6ST	0.000008
CD93---COL1A1	0.000008
