B-cell---B-cell	q-value: 1.7699e-08
normal---normal	q-value: 0.24756

Ligand---Receptor	contribution
CCL5---DARC	0.100515
CD74---APP	0.083396
CCR7---CCL21	0.051192
CCL21---CXCR3	0.047207
IL8---DARC	0.046668
DARC---CCL5	0.043669
KLRD1---HLA-B	0.035182
CANX---HLA-B	0.029870
CCL21---CCR7	0.027289
LEPR---APOD	0.023829
CD44---VIM	0.022773
TIMP1---CD63	0.018568
CCR5---CCL4	0.017410
CCL5---CXCR3	0.017174
VIM---CD44	0.016931
HLA-B---CANX	0.014004
SELL---SELPLG	0.012293
CCL5---SDC4	0.011918
CXCR2---IL8	0.011667
SPP1---CD44	0.010588
SPP1---ITGB1	0.010216
HLA-B---LILRB2	0.010075
CXCR4---CXCL12	0.009642
FCER2---ITGB2	0.008936
APP---CD74	0.008087
CXCL1---DARC	0.007294
HLA-A---LILRB2	0.006868
KLRD1---HLA-E	0.006792
LILRB1---HLA-B	0.006584
HLA-C---LILRB2	0.006015
LILRB1---HLA-C	0.004975
CD48---CD2	0.004668
HLA-C---LILRA3	0.004641
SELL---CD34	0.004613
APLP2---HLA-A	0.004589
MIF---TNFRSF14	0.004353
CXCR2---CXCL2	0.004311
SPP1---ITGA4	0.004267
CD79A---BTLA	0.004114
CCL19---CCR7	0.003950
CXCR2---CXCL3	0.003771
CD63---TIMP1	0.003737
LILRB1---HLA-A	0.003535
HLA-B---KLRD1	0.003443
CCL3---CCR1	0.003431
DARC---IL8	0.003261
CCL3---IDE	0.003235
CXCL5---DARC	0.003107
CCL20---CXCR3	0.003027
CCR7---CCL19	0.002990
ADRB2---IL1B	0.002950
CCL19---CXCR3	0.002903
HLA-E---KLRC1	0.002808
TNFRSF14---BTLA	0.002750
TNFRSF14---MIF	0.002627
HLA-A---APLP2	0.002613
IL2RG---ICAM1	0.002564
DARC---CXCL1	0.002562
LILRA3---HLA-C	0.002551
CD2---CD48	0.002338
ICAM1---IL2RG	0.002291
HLA-C---KIR2DS4	0.002087
CD40---LTB	0.002043
CD180---LY86	0.002001
VCAM1---ITGB1	0.001876
LILRB2---HLA-B	0.001856
CXCR2---CXCL1	0.001823
HLA-C---KIR2DL3	0.001814
FCER2---CR2	0.001800
LILRB2---HLA-C	0.001717
CEACAM5---CD8A	0.001571
TRAF2---GSTP1	0.001511
FCER2---ITGAX	0.001441
GPR37L1---PSAP	0.001435
HLA-B---LILRB1	0.001412
TYROBP---CD47	0.001394
CD44---SPP1	0.001381
CCR5---CCL5	0.001340
NCSTN---PSEN1	0.001332
RAET1E---KLRK1	0.001322
ANXA1---FPR1	0.001275
SLAMF7---SLAMF7	0.001244
CXCR3---CCL5	0.001117
ANXA1---FPR2	0.001114
ICAM3---ITGB2	0.001090
CD22---PTPRC	0.001058
HLA-E---KLRD1	0.001032
SIGLEC10---CD52	0.001022
CD244---CD48	0.001002
SDC4---CCL5	0.000993
CD84---CD84	0.000976
PRND---RPSA	0.000961
IL1R1---IL1B	0.000953
KIR2DL3---HLA-C	0.000937
TNFRSF1A---GRN	0.000895
JAM2---ITGB1	0.000876
LGALS3BP---ITGB1	0.000845
SCARF1---CALR	0.000842
LY86---CD180	0.000835
CD40---CD40LG	0.000821
KLRC1---HLA-E	0.000786
APP---FPR2	0.000725
IL10---IL10RB	0.000702
LTBR---LTB	0.000695
ADAM28---ITGA4	0.000687
CD58---CD2	0.000650
CCR6---CCL20	0.000616
LILRB2---HLA-A	0.000563
CD82---HBEGF	0.000534
MICB---KLRK1	0.000523
KLRK1---ULBP3	0.000502
RHBDL2---EFNB2	0.000488
CD52---SIGLEC10	0.000486
IL12RB1---IL23A	0.000479
PTPRC---CD22	0.000443
SPN---ICAM1	0.000416
LTA---TNFRSF14	0.000368
TNFRSF10B---TNFSF10	0.000366
NCSTN---APP	0.000363
ICAM3---CLEC4M	0.000359
PLAUR---ITGB1	0.000359
IFNGR1---IFNG	0.000336
CXCL16---CXCR6	0.000325
IL10---IL10RA	0.000320
TBXA2R---GHRL	0.000317
APP---NCSTN	0.000300
ITGB2---ICAM2	0.000282
TNFRSF1B---GRN	0.000259
CD19---C3	0.000257
TNFRSF1A---FASLG	0.000252
CD47---THBS1	0.000252
FCER2---ITGAM	0.000251
CLEC2D---KLRB1	0.000242
ITGB2---CTGF	0.000227
SPP1---S1PR1	0.000226
ITGB1---PLA2G2A	0.000210
BST2---LILRA4	0.000194
IL1B---ADRB2	0.000186
ITGA5---PLA2G2A	0.000161
CHRM3---GZMB	0.000155
ITGB2---VCAM1	0.000148
ITGAL---ICAM3	0.000124
IL1B---IL1R1	0.000120
LRP1---PSAP	0.000119
ITGAL---ICAM1	0.000113
CAV1---APP	0.000112
HAVCR2---LGALS9	0.000112
GPR1---RARRES2	0.000110
IL1RN---IL1R1	0.000106
ITGB1---LAMB1	0.000104
CD72---SEMA4D	0.000081
LGALS9---CD44	0.000076
ITGAL---ICAM2	0.000074
CD48---CD244	0.000071
RPSA---LAMA2	0.000068
ITGB2---HP	0.000060
SELPLG---SELL	0.000054
C3---CD19	0.000050
CXCL12---CXCR4	0.000050
COL1A2---ITGB1	0.000038
CXCL12---CXCR3	0.000038
CCL5---GPR75	0.000035
ITGB2---C3	0.000023
CD44---LGALS9	0.000017
IL7R---IL7	0.000013
CD44---COL1A2	0.000013

